Civil_Status,Age,Children,Education_Level,Income,Total_Purchase,Wines,Fruits,Meat,Fish,Vegetables,Bread,Purchase_with_discounts,Online_Purchase,Store_Purchase,Web_visit
Married,53,2,Bachelors,41728,55,13,6,15,3,5,13,1,2,2,10
Married,67,3,Postgraduate,72550,1319,826,50,317,50,38,38,9,5,12,8
Divorced_Widowed,64,1,Bachelors,65486,507,245,19,125,37,67,14,1,4,10,2
Married,57,1,Postgraduate,79143,1693,650,37,780,27,167,32,1,6,13,3
Divorced_Widowed,44,1,Bachelors,35790,72,12,6,20,30,1,3,2,2,3,7
Single,44,0,Bachelors,82582,1617,510,120,550,156,40,241,1,4,7,1
Married,43,3,Bachelors,66373,606,328,9,124,12,24,109,7,4,10,3
Married,66,1,Postgraduate,82384,1957,984,51,432,180,120,190,1,3,13,1
Single,55,0,Bachelors,70287,1093,295,35,482,121,120,40,1,5,10,3
Divorced_Widowed,33,1,Bachelors,27938,29,13,0,8,2,1,5,1,1,4,3
Married,53,2,Postgraduate,55954,518,447,0,28,0,0,43,3,8,6,7
Single,39,0,Postgraduate,75777,1438,712,26,538,69,13,80,1,3,11,1
Married,46,3,Bachelors,66653,612,452,18,102,16,18,6,4,4,12,3
Divorced_Widowed,69,1,Bachelors,61823,884,523,7,134,37,14,169,4,8,10,7
Divorced_Widowed,70,1,Postgraduate,67680,606,546,0,48,0,6,6,1,7,8,5
Married,73,1,Bachelors,70666,1076,398,40,367,119,122,30,1,7,4,4
Married,50,2,Bachelors,25721,34,1,3,6,3,6,15,1,1,2,7
Married,54,3,Bachelors,32474,11,10,0,1,0,0,0,1,1,2,7
Divorced_Widowed,42,1,High School,88194,1274,688,14,309,201,24,38,1,11,10,5
Married,63,2,Bachelors,69096,653,247,49,159,7,82,109,1,5,10,4
Married,51,4,Bachelors,74854,1562,856,59,487,58,29,73,7,2,5,5
Married,67,1,Postgraduate,66991,1253,496,36,460,189,60,12,3,4,6,3
Married,62,2,Bachelors,65031,863,258,107,291,84,37,86,4,10,13,7
Married,46,3,Postgraduate,60631,661,565,6,65,0,6,19,5,9,8,7
Married,69,1,Bachelors,28332,65,14,10,13,4,15,9,1,2,4,2
Divorced_Widowed,44,1,Bachelors,40246,13,2,1,6,2,1,1,1,1,2,6
Married,49,1,Postgraduate,75251,1890,721,111,925,97,18,18,1,7,5,5
Single,45,0,Bachelors,75825,2209,1032,105,779,137,105,51,0,5,9,4
Married,45,1,High School,26326,18,1,0,5,0,3,9,1,0,3,3
Married,56,1,Bachelors,56046,692,577,0,64,0,0,51,2,10,8,8
Divorced_Widowed,36,1,Bachelors,29760,165,64,4,68,7,5,17,4,3,4,8
Married,52,2,Bachelors,26304,16,4,1,5,2,0,4,1,1,2,7
Married,48,2,High School,23559,79,25,5,19,7,0,23,3,3,3,7
Married,58,1,Postgraduate,38620,318,112,17,44,34,22,89,1,2,3,3
Single,34,0,Bachelors,81361,778,163,23,424,27,65,76,1,3,13,1
Married,61,3,Bachelors,29440,56,17,8,14,10,4,3,2,1,4,7
Married,51,3,Postgraduate,36138,151,130,0,16,0,0,5,5,3,4,7
Divorced_Widowed,64,1,Bachelors,50388,372,292,6,37,0,3,34,4,6,6,7
Married,48,1,Bachelors,79593,1366,350,60,568,110,133,145,1,5,7,2
Married,54,2,Bachelors,54178,194,135,9,39,4,0,7,1,2,5,2
Divorced_Widowed,49,1,Postgraduate,42394,32,15,2,10,0,1,4,1,1,3,7
Married,51,2,Postgraduate,23626,43,27,2,14,0,0,0,3,3,3,5
Married,38,2,Bachelors,30096,45,5,3,11,12,5,9,1,2,3,6
Divorced_Widowed,61,1,Bachelors,47916,606,505,0,26,0,0,75,5,7,6,6
Divorced_Widowed,49,2,Bachelors,51813,63,51,2,7,0,1,2,2,2,3,7
Married,70,1,High School,78497,978,207,26,447,75,0,223,1,5,12,2
Married,38,1,Postgraduate,50150,410,135,46,92,65,61,11,2,5,7,5
Divorced_Widowed,61,1,High School,47823,72,53,1,5,2,1,10,2,2,3,8
Divorced_Widowed,62,1,Postgraduate,34554,55,41,1,6,2,0,5,2,2,3,6
Married,42,2,Bachelors,85693,1169,386,172,183,185,132,111,2,9,11,5
Married,76,1,Postgraduate,65846,1120,562,81,276,80,40,81,1,6,6,4
Married,62,1,Bachelors,87195,1097,217,76,690,50,26,38,1,3,5,1
Married,42,2,High School,24594,29,1,3,6,10,0,9,1,1,3,5
Married,57,3,Bachelors,49096,187,144,1,32,2,1,7,4,4,4,7
Married,52,3,Bachelors,52413,910,295,106,271,75,98,65,4,6,12,6
Divorced_Widowed,43,1,Bachelors,38557,145,76,3,31,4,4,27,2,3,3,7
Married,61,1,Postgraduate,89058,850,454,194,106,31,22,43,1,5,4,2
Married,42,2,Bachelors,77298,969,425,115,292,23,35,79,1,6,11,3
Single,30,0,Postgraduate,68126,1820,1332,17,311,23,51,86,1,7,5,9
Married,58,2,Postgraduate,57288,608,527,0,21,0,0,60,3,8,8,6
Single,30,0,Bachelors,86037,730,490,44,125,29,20,22,1,6,11,3
Married,41,2,Postgraduate,43974,551,378,0,101,0,0,72,5,6,6,7
Divorced_Widowed,59,2,Bachelors,50785,114,64,1,21,0,1,27,2,2,3,6
Married,51,1,Bachelors,90765,1724,547,99,812,151,82,33,0,4,5,1
Married,43,2,High School,36550,577,47,90,94,123,103,120,5,9,5,9
Married,54,3,High School,30753,81,12,5,25,0,9,30,2,1,3,5
Married,52,2,Bachelors,21918,33,1,6,7,11,5,3,2,2,3,6
Married,68,2,Postgraduate,56129,660,320,48,133,39,72,48,4,6,10,4
Divorced_Widowed,54,1,Postgraduate,32557,80,34,3,29,0,4,10,3,2,3,5
Married,36,3,Postgraduate,19510,30,9,0,7,3,4,7,2,1,3,7
Divorced_Widowed,45,1,Bachelors,30992,43,17,0,14,7,3,2,1,1,3,7
Single,38,0,Bachelors,101970,1135,722,27,102,44,72,168,0,6,13,2
Married,56,1,High School,71488,559,162,33,124,40,28,172,2,3,7,1
Single,37,0,Bachelors,79607,1923,450,133,951,173,0,216,1,3,6,1
Married,68,3,Postgraduate,54348,90,70,0,16,0,0,4,2,2,4,6
Married,65,3,Postgraduate,77376,661,492,19,110,16,12,12,4,6,10,4
Married,69,2,Bachelors,62998,463,120,58,73,65,89,58,5,5,5,5
Divorced_Widowed,63,2,Postgraduate,61331,632,534,5,47,0,5,41,5,11,6,8
Married,52,1,Bachelors,73448,725,236,106,189,23,41,130,1,7,9,4
Married,57,3,Postgraduate,41551,279,220,0,33,3,0,23,5,5,5,8
Married,54,1,Postgraduate,62981,1482,796,14,590,38,44,0,1,4,13,3
Divorced_Widowed,45,1,High School,9548,29,0,1,3,10,6,9,2,1,3,8
Married,62,4,Postgraduate,33762,106,53,1,34,2,0,16,3,2,2,8
Divorced_Widowed,48,2,Postgraduate,35860,49,15,0,8,4,2,20,2,1,2,5
Divorced_Widowed,56,2,Postgraduate,36921,38,17,1,12,3,1,4,2,2,3,7
Single,29,0,Postgraduate,92859,2077,962,61,921,52,61,20,1,5,12,2
Married,45,2,Postgraduate,65104,1053,738,0,232,13,20,50,2,3,7,7
Married,59,1,Bachelors,86111,1385,399,28,756,36,40,126,1,5,10,2
Divorced_Widowed,47,1,Postgraduate,68352,871,614,16,132,43,33,33,3,8,9,6
Married,33,2,Bachelors,41883,312,32,34,41,73,16,116,3,4,3,7
Married,45,3,Bachelors,59809,877,598,16,141,32,41,49,3,3,6,8
Married,46,2,Bachelors,23957,68,2,1,18,20,11,16,1,2,3,6
Married,40,2,Bachelors,38547,22,6,1,10,0,1,4,1,1,2,8
Married,48,4,High School,35688,211,73,3,90,12,1,32,7,4,4,8
Married,55,1,Postgraduate,49605,127,42,16,29,12,20,8,1,2,4,3
Married,68,3,Postgraduate,59354,459,295,21,78,39,13,13,1,4,7,3
Married,52,2,Bachelors,65747,460,346,17,48,23,13,13,4,8,6,6
Married,49,2,High School,46344,429,233,20,57,8,20,91,4,7,5,7
Divorced_Widowed,33,1,Bachelors,34176,89,5,7,24,19,14,20,4,3,4,6
Married,69,2,Postgraduate,61010,1021,888,0,57,0,0,76,2,8,11,5
Married,72,1,Bachelors,69372,1381,997,26,269,34,13,42,1,10,6,4
Divorced_Widowed,63,1,Bachelors,49967,306,212,6,69,4,12,3,3,6,5,7
Divorced_Widowed,43,3,Bachelors,60199,18,8,1,7,2,0,0,1,0,3,4
Married,44,2,Bachelors,55375,162,42,11,57,10,28,14,1,1,6,2
Single,66,0,Bachelors,80317,1231,536,11,387,149,91,57,1,3,10,1
Divorced_Widowed,63,3,Postgraduate,30523,13,5,0,3,0,0,5,1,1,2,7
Married,76,1,Postgraduate,70356,1706,1349,16,249,43,16,33,2,10,9,6
Married,37,2,Bachelors,23228,121,53,3,49,7,4,5,4,3,4,8
Single,46,0,Postgraduate,74165,1293,1001,12,240,16,12,12,1,5,10,2
Married,55,4,Bachelors,43482,88,18,1,32,6,3,28,3,2,4,6
Single,68,0,Bachelors,62551,421,125,16,98,134,21,27,1,6,4,3
Single,62,0,Bachelors,52332,259,212,5,33,7,0,2,1,3,6,4
Single,33,0,Bachelors,66951,1117,277,162,305,173,76,124,1,3,7,1
Married,64,3,Bachelors,26091,89,15,10,19,8,17,20,3,2,3,5
Married,56,3,Bachelors,33456,36,7,3,10,8,1,7,2,1,3,7
Married,39,2,Bachelors,28718,57,12,4,6,11,8,16,2,2,3,8
Married,51,3,Bachelors,50447,148,85,7,24,2,3,27,1,3,3,6
Married,62,3,Postgraduate,53537,93,81,0,6,0,0,6,2,2,3,5
Divorced_Widowed,54,1,Bachelors,52074,119,59,0,12,0,0,48,1,2,2,4
Married,46,2,Postgraduate,80427,1835,1149,71,449,69,71,26,1,11,8,5
Married,73,1,Postgraduate,83837,1318,847,66,119,86,89,111,1,9,5,4
Married,51,3,Postgraduate,38853,45,29,0,14,0,0,2,2,2,3,7
Married,62,4,Bachelors,38285,10,2,0,5,2,0,1,1,0,3,2
Married,70,1,High School,78497,978,207,26,447,75,0,223,1,5,12,2
Married,45,2,Postgraduate,51650,191,152,3,22,2,5,7,1,4,4,5
Married,33,2,High School,16248,57,12,11,10,3,12,9,3,2,3,6
Married,75,1,Postgraduate,66835,1033,620,26,195,34,17,141,1,6,13,2
Married,37,2,Postgraduate,30477,66,47,1,6,0,0,12,1,1,3,6
Married,60,1,High School,28249,43,1,9,7,2,14,10,1,2,3,6
Married,38,2,Bachelors,25271,50,10,1,18,10,4,7,1,1,2,9
Divorced_Widowed,51,1,Postgraduate,32303,39,35,0,2,0,0,2,2,1,4,5
Married,55,2,Bachelors,61286,608,356,0,107,19,9,117,2,7,8,5
Married,45,1,Bachelors,74068,1581,783,30,537,140,76,15,1,4,9,2
Married,57,3,Postgraduate,45759,68,42,1,18,3,0,4,2,2,3,7
Married,43,2,High School,24882,80,1,4,10,29,0,36,1,1,2,6
Married,32,1,Postgraduate,66973,1282,466,22,432,147,113,102,1,8,12,3
Married,33,2,Bachelors,38872,91,23,3,21,3,19,22,2,3,3,8
Married,48,3,Bachelors,51148,315,235,6,45,8,9,12,4,5,6,6
Married,44,3,Bachelors,31353,31,10,0,10,3,1,7,2,1,2,8
Married,41,1,Postgraduate,69661,834,656,16,106,32,16,8,1,7,12,3
Married,67,1,Bachelors,80067,1600,519,17,813,27,173,51,1,4,6,2
Married,67,1,Bachelors,86718,1270,344,189,482,50,33,172,1,5,5,2
Divorced_Widowed,48,2,Postgraduate,46854,263,96,1,79,7,1,79,6,5,3,8
Divorced_Widowed,69,1,Bachelors,69142,535,448,4,34,6,4,39,3,8,7,5
Single,53,0,Bachelors,75922,1295,265,138,553,224,23,92,1,4,9,1
Divorced_Widowed,43,1,Bachelors,63693,1150,587,43,337,42,87,54,3,11,9,6
Married,44,1,Postgraduate,102160,1240,763,29,138,76,176,58,0,7,10,4
Divorced_Widowed,56,2,Postgraduate,40637,38,22,0,13,0,0,3,2,1,3,7
Single,37,0,Postgraduate,18890,35,6,4,1,7,2,15,1,0,2,6
Married,33,2,Bachelors,29604,53,7,6,13,7,6,14,1,1,3,9
Divorced_Widowed,58,2,Postgraduate,48721,293,81,18,113,47,13,21,6,4,5,6
Married,55,2,Bachelors,44794,65,54,0,7,0,0,4,1,2,3,6
Divorced_Widowed,67,1,Bachelors,64497,1804,1170,48,320,42,32,192,5,11,9,8
Married,65,2,Bachelors,46097,241,72,24,68,65,4,8,5,3,6,4
Married,67,1,Bachelors,77972,1101,613,22,319,33,102,12,1,4,9,1
Married,53,3,Postgraduate,44377,264,224,0,30,0,0,10,8,5,5,8
Married,47,3,Postgraduate,46014,541,410,0,59,19,9,44,10,7,8,7
Married,36,1,Bachelors,70951,1198,239,10,554,254,87,54,1,3,9,1
Married,44,2,Bachelors,41443,482,171,7,171,25,19,89,6,8,5,8
Divorced_Widowed,43,3,High School,52195,17,12,0,4,0,0,1,1,1,2,8
Married,73,1,Postgraduate,83790,1615,1076,16,417,42,48,16,1,8,6,3
Divorced_Widowed,67,1,Postgraduate,44551,285,182,4,33,0,0,66,2,4,5,7
Married,41,2,Bachelors,69508,1135,824,32,162,42,32,43,2,11,11,6
Married,33,2,High School,45204,114,30,11,25,29,1,18,1,1,4,3
Married,52,1,Bachelors,72460,1047,377,10,540,80,30,10,1,3,7,1
Married,51,3,Postgraduate,77622,714,520,7,154,19,0,14,2,6,11,3
Married,41,2,Postgraduate,30732,185,155,1,25,0,1,3,4,4,4,8
Divorced_Widowed,59,1,Bachelors,63887,1245,897,23,207,15,11,92,5,9,12,6
Married,43,2,Bachelors,42011,189,131,0,16,2,1,39,4,3,4,8
Married,45,2,Bachelors,51369,576,297,7,79,0,11,182,2,8,4,8
Divorced_Widowed,69,1,Bachelors,51537,1103,787,20,204,0,0,92,3,2,11,8
Married,49,1,Postgraduate,79930,1753,792,86,740,67,51,17,1,3,8,2
Married,35,2,Postgraduate,34320,17,4,1,9,3,0,0,1,1,2,8
Divorced_Widowed,55,2,Bachelors,37070,433,231,7,137,4,15,39,9,5,8,7
Divorced_Widowed,59,1,High School,81975,1588,983,76,184,180,138,27,1,6,4,7
Married,50,2,Bachelors,38590,22,3,1,8,4,3,3,1,1,2,8
Single,70,0,Bachelors,15033,19,0,4,5,6,0,4,1,1,3,3
Married,56,2,Postgraduate,62745,1117,562,21,464,28,10,32,3,7,11,5
Married,46,2,High School,22212,69,5,9,20,6,8,21,2,2,4,6
Married,39,2,Postgraduate,23661,23,18,0,4,0,0,1,1,1,3,7
Divorced_Widowed,63,1,Postgraduate,79761,605,415,5,124,15,35,11,1,5,11,3
Divorced_Widowed,48,1,Bachelors,7500,57,5,3,10,12,7,20,4,3,3,7
Single,53,0,Bachelors,73455,2088,901,61,757,186,163,20,1,6,10,3
Married,63,2,Bachelors,64961,1009,382,114,276,75,124,38,2,6,4,3
Divorced_Widowed,50,1,Bachelors,22804,26,14,1,7,2,1,1,1,2,2,9
Married,31,1,Bachelors,73687,1627,559,153,503,218,13,181,1,3,9,2
Married,63,2,Bachelors,61074,1102,789,0,133,0,28,152,7,11,8,7
Married,57,3,Postgraduate,31686,17,11,0,5,0,0,1,2,1,3,6
Married,49,2,Bachelors,80134,1690,1218,16,272,104,0,80,2,5,6,6
Married,68,2,Bachelors,75027,1390,925,64,179,133,12,77,2,9,6,5
Married,33,1,Postgraduate,67546,2126,864,134,768,150,38,172,1,4,5,3
Married,52,2,Postgraduate,65176,1531,960,28,183,220,70,70,4,9,6,6
Divorced_Widowed,46,1,Postgraduate,31160,64,16,3,25,6,1,13,2,2,3,8
Divorced_Widowed,36,1,Bachelors,29938,26,3,3,7,0,2,11,2,1,3,6
Single,47,0,Bachelors,102692,1112,168,148,444,32,172,148,1,6,13,2
Married,63,1,High School,26490,210,45,47,52,21,20,25,2,3,5,6
Married,54,3,Bachelors,75702,1148,650,28,353,45,42,30,5,4,11,8
Divorced_Widowed,47,1,Postgraduate,30899,33,24,0,8,0,0,1,2,1,3,6
Married,60,2,Postgraduate,63342,1101,918,21,118,13,10,21,3,8,5,6
Divorced_Widowed,57,1,Bachelors,45989,322,138,33,87,28,24,12,4,3,7,3
Divorced_Widowed,57,2,Bachelors,18701,44,12,4,2,10,6,10,4,2,4,5
Divorced_Widowed,64,3,Postgraduate,40737,17,11,0,4,0,0,2,1,1,2,8
Divorced_Widowed,42,1,Bachelors,15287,31,1,2,8,4,3,13,2,1,2,7
Divorced_Widowed,53,2,Postgraduate,69674,845,554,41,215,11,0,24,3,10,10,5
Married,51,2,Postgraduate,44159,275,167,2,62,24,13,7,4,4,6,5
Married,43,2,Postgraduate,37717,25,9,0,6,4,1,5,1,1,2,9
Married,69,3,Postgraduate,43776,275,177,2,71,3,2,20,6,5,4,8
Married,55,3,Postgraduate,38179,90,38,4,22,4,2,20,4,3,3,7
Married,58,1,Bachelors,80124,1495,483,84,398,205,84,241,1,3,8,1
Married,51,3,Postgraduate,38097,184,77,2,35,0,1,69,4,3,2,7
Married,51,1,Bachelors,72940,981,182,74,298,162,149,116,1,3,6,1
Married,51,2,Bachelors,22070,67,10,7,19,8,2,21,2,2,2,6
Single,68,0,Bachelors,69267,1635,778,44,499,95,73,146,2,3,5,7
Divorced_Widowed,38,1,Postgraduate,31788,60,16,7,23,0,8,6,3,3,4,5
Married,46,2,Postgraduate,61905,231,167,0,43,6,2,13,2,4,4,5
Married,61,3,Bachelors,29315,48,13,2,14,8,7,4,4,2,4,6
Divorced_Widowed,58,2,Bachelors,33378,99,33,6,40,3,7,10,3,2,4,7
Married,58,2,Postgraduate,66313,770,625,7,99,10,22,7,2,6,12,4
Single,65,0,Bachelors,60714,957,216,162,224,101,92,162,2,7,10,5
Married,40,1,Postgraduate,77882,818,68,129,396,188,22,15,1,3,5,1
Single,35,0,Postgraduate,69867,925,196,0,512,33,130,54,1,3,8,1
Divorced_Widowed,53,1,Postgraduate,63841,908,635,15,100,20,7,131,1,9,9,6
Married,40,2,High School,24480,102,4,19,9,28,25,17,3,3,4,7
Married,45,2,Bachelors,51369,576,297,7,79,0,11,182,2,8,4,8
Married,75,1,Bachelors,37760,317,84,5,38,150,12,28,2,4,6,7
Married,47,2,Postgraduate,65640,461,204,7,149,20,15,66,1,5,8,2
Married,46,3,Postgraduate,44319,37,26,0,8,0,0,3,2,2,3,5
Married,47,2,Bachelors,30631,70,15,6,20,4,5,20,1,3,2,7
Married,69,1,Bachelors,75278,930,304,98,230,150,74,74,1,6,13,3
Married,65,3,Postgraduate,50898,859,285,28,242,55,114,135,13,6,12,5
Single,55,0,Bachelors,79946,1478,395,183,565,166,141,28,1,5,5,3
Single,72,0,Postgraduate,35416,390,248,3,81,4,3,51,3,7,5,8
Married,37,1,High School,32414,52,20,6,5,0,9,12,1,1,3,7
Married,52,2,Bachelors,38361,137,39,0,56,20,8,14,3,3,3,7
Married,41,1,Bachelors,82497,1919,777,129,573,216,21,203,1,2,9,4
Married,50,3,Bachelors,16626,68,8,3,22,21,1,13,3,3,3,9
Married,56,3,Bachelors,29672,25,9,1,3,0,4,8,1,0,3,6
Married,69,2,Postgraduate,55951,1374,1241,0,80,0,13,40,3,3,11,8
Divorced_Widowed,33,1,High School,35388,32,6,4,7,4,3,8,1,1,3,7
Married,35,2,Postgraduate,42386,100,65,4,16,0,4,11,1,3,3,8
Single,39,0,Bachelors,68627,825,395,15,263,60,54,38,1,2,6,1
Divorced_Widowed,56,1,Postgraduate,57912,916,801,0,80,0,0,35,5,8,12,5
Divorced_Widowed,63,2,Bachelors,35246,62,36,0,12,2,2,10,4,3,3,5
Married,65,2,High School,58821,728,513,14,154,19,0,28,1,9,9,6
Married,43,2,Postgraduate,46377,90,37,0,46,4,3,0,1,2,3,4
Divorced_Widowed,33,1,Bachelors,39747,273,80,15,93,20,13,52,3,5,4,8
Married,37,2,Bachelors,23976,66,14,1,21,2,3,25,3,3,3,7
Married,60,1,Postgraduate,80950,1213,525,147,112,219,147,63,1,6,9,2
Single,55,0,Bachelors,27038,107,1,26,25,17,23,15,1,3,3,9
Single,74,0,Bachelors,77457,1157,675,11,400,15,45,11,1,2,10,1
Married,57,2,Postgraduate,64100,546,509,0,27,0,0,10,1,8,6,7
Married,29,1,Postgraduate,42670,241,154,2,46,20,4,15,1,4,4,4
Divorced_Widowed,45,1,Bachelors,12571,53,3,5,14,2,12,17,4,3,3,6
Married,54,4,Bachelors,22574,37,25,0,8,2,0,2,2,2,3,7
Single,45,0,Postgraduate,70893,1508,768,44,561,77,44,14,1,6,10,3
Married,55,3,Bachelors,54198,235,185,0,28,3,2,17,6,3,6,4
Married,65,3,Postgraduate,28839,32,24,0,7,0,0,1,2,2,3,5
Married,49,3,Bachelors,40321,102,44,4,21,6,0,27,2,3,3,7
Divorced_Widowed,36,1,Bachelors,66503,401,91,64,128,65,3,50,2,4,6,3
Married,70,3,Bachelors,30833,28,11,0,7,3,1,6,2,1,3,5
Married,50,2,Bachelors,64795,680,412,5,119,38,29,77,3,3,12,2
Married,47,2,Bachelors,34421,30,3,3,7,6,2,9,1,1,2,7
Divorced_Widowed,56,2,Postgraduate,47025,20,16,0,3,0,0,1,1,1,2,7
Divorced_Widowed,60,1,Postgraduate,64325,1307,731,60,353,78,12,73,5,10,5,7
Divorced_Widowed,68,1,Bachelors,40464,630,424,17,118,7,23,41,6,8,8,8
Married,64,1,Bachelors,62187,1283,792,0,275,45,45,126,1,4,5,3
Divorced_Widowed,45,1,Postgraduate,14849,65,21,2,28,3,2,9,3,2,4,8
Married,37,2,Bachelors,27255,37,22,1,11,0,1,2,1,1,3,7
Married,71,4,Postgraduate,54432,38,33,0,5,0,0,0,1,1,3,4
Divorced_Widowed,35,1,Postgraduate,29999,160,68,7,59,10,5,11,4,3,4,8
Divorced_Widowed,38,1,Bachelors,24072,23,9,1,6,3,0,4,1,1,2,8
Single,32,0,Postgraduate,33996,71,40,2,15,8,0,6,1,1,3,4
Married,65,2,Postgraduate,66334,1161,909,11,218,0,0,23,2,9,5,5
Married,50,2,Postgraduate,35178,59,23,1,13,2,2,18,1,1,2,7
Married,38,2,Bachelors,22010,33,11,2,9,3,0,8,2,2,3,8
Divorced_Widowed,61,2,Bachelors,62204,946,317,46,247,151,46,139,1,4,12,3
Single,53,0,Bachelors,75693,1442,797,153,293,72,97,30,1,11,6,4
Married,49,2,Bachelors,30675,62,10,2,16,11,2,21,1,1,3,8
Married,56,1,Bachelors,83003,1674,856,61,570,40,25,122,1,7,8,3
Single,33,0,Bachelors,68655,1538,456,19,832,75,118,38,1,4,11,3
Single,35,0,Bachelors,41411,139,37,32,38,11,3,18,1,2,4,6
Married,52,2,Postgraduate,55212,1182,1103,0,45,0,0,34,3,4,11,8
Married,71,2,Postgraduate,59292,507,378,14,68,19,14,14,2,3,8,3
Married,48,2,High School,27190,18,1,6,7,0,1,3,1,1,2,8
Single,69,0,Bachelors,82623,940,204,34,204,172,153,173,1,2,4,1
Married,56,3,Bachelors,44300,42,30,0,9,0,0,3,2,1,3,6
Single,51,0,Bachelors,84835,1190,189,104,379,111,189,218,1,4,6,1
Divorced_Widowed,50,2,Bachelors,30372,44,15,0,12,7,3,7,3,2,3,7
Married,45,2,Postgraduate,33181,16,9,0,3,0,0,4,1,1,2,6
Married,64,2,Bachelors,71113,835,495,33,255,11,33,8,4,6,9,4
Married,35,2,Bachelors,71952,1443,656,80,455,52,107,93,2,8,8,4
Single,55,0,Postgraduate,69759,1029,452,20,514,13,30,0,3,4,5,3
Married,47,1,Bachelors,72099,1188,546,91,410,119,0,22,1,3,10,1
Divorced_Widowed,45,1,Postgraduate,60000,1277,1048,0,217,0,0,12,5,11,5,6
Divorced_Widowed,43,2,Bachelors,38643,49,22,2,14,0,1,10,2,2,3,7
Married,66,2,Bachelors,50737,99,78,0,11,0,0,10,1,2,4,6
Married,52,1,Postgraduate,68462,1670,561,64,785,84,128,48,1,3,8,1
Married,78,1,Postgraduate,65073,900,629,17,177,69,0,8,1,5,5,2
Married,73,3,Postgraduate,46681,425,269,15,69,15,19,38,2,4,4,5
Married,64,1,Bachelors,78618,2153,736,163,818,212,163,61,1,4,10,2
Divorced_Widowed,52,1,Postgraduate,62187,636,512,0,83,0,0,41,3,6,10,4
